collected_at,match_id,competition,home_team,away_team,query,query_language,tweet_id,tweet_created_at,tweet_lang,tweet_text,conversation_id,possibly_sensitive,source,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_verified,author_followers_count,author_following_count,author_tweet_count,author_listed_count
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205789761974456,2025-11-05T22:55:36.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205789761974456,False,,820,0,0,0,1709224976212008960,MCFCFxden,𒆙,False,244,1335,7271,1
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205595490537530,2025-11-05T22:54:50.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205595490537530,False,,820,0,0,0,2148802956,mudamuda0911,シュンスケェェェェエ！,False,306,704,180840,4
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205576553242804,2025-11-05T22:54:46.000Z,de,"RT @City_Xtra: GOAL! #ManCity 1-0 Borussia Dortmund, Phil Foden! [22’] #UCL",1986205576553242804,False,,74,0,0,0,802001678954283008,daryiljohnson30,daryil andrew 🇺🇦🇮🇱,False,1552,5873,663887,6
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205429941342363,2025-11-05T22:54:11.000Z,de,"RT @Cooperativa: [VIDEO] Foden, Haaland y Cherki lideraron la goleada de Manchester City sobre Borussia Dortmund #Cooperativa90 https://t.c…",1986205429941342363,False,,1,0,0,0,512329706,FabiParraguezM,Fabián Parraguez,False,11263,90,1586564,23
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205336668094602,2025-11-05T22:53:48.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205336668094602,False,,820,0,0,0,349712103,lifeof0stress,Ope Yemi,False,420,1514,16634,2
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205191184478402,2025-11-05T22:53:14.000Z,de,"Hab heute das erste mal ein richtig starkes bauchgefühl gehabt, was das Spiel Mancity gegen dortmund angeht. Ihr checkt nicht wie stark ich dieses 4-1 gespürt habe.",1986205191184478402,False,,0,0,0,0,1946570341637046272,247_foryou,24/7 • Football ⚽️,False,0,0,8,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986205090726760919,2025-11-05T22:52:50.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986205090726760919,False,,820,0,0,0,1049541902058565633,TyMarvee,OMOTAYO🎭,False,1521,1312,166008,2
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986204901228355860,2025-11-05T22:52:05.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986204901228355860,False,,820,0,0,0,1464892365706039300,AbuBaka92914147,Abu Bakarr Tarawallie,False,33,57,362,0
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986204865173852208,2025-11-05T22:51:56.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986204865173852208,False,,820,0,0,0,1503040050333982733,Henry_MCFC,Henry,False,1365,730,30215,1
2025-11-08T01:50:31.624483+00:00,2025-11-05_mancity_dortmund,UEFA Champions League,Manchester City,Borussia Dortmund,(Manchester City OR ManCity OR MCFC OR #ManCity) (Dortmund OR BVB OR Borussia OR #BVB OR #Dortmund OR #UCL) lang:de,de,1986204535488926155,2025-11-05T22:50:37.000Z,de,"RT @premierleague: ⚽️⚽️ Phil Foden x2 
⚽️ Erling Haaland x1
⚽️ Rayan Cherki x1 

@ManCity beat Dortmund 4-1 in the #UCL! https://t.co/quDXo…",1986204535488926155,False,,820,0,0,0,1945970015452229632,Owen_Coope,Owen Cooper,False,54,279,3291,0
